"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Registration functionality scenarios","Verify whether the user able to register into the application by providing all the details","0","0","1","0","0"
"","Login functionality scenarios","Verify whether the User is not able to reset the forgotten password","0","0","1","0","0"
"","Login functionality scenarios","Verify whether the User is not able to login with invalid credentials","0","0","1","0","0"
"","Registration functionality scenarios","Verify  whether the user is not allowed to register on skipping mandatory fields","0","0","1","0","0"
"","Search functionality scenarios","Verify whether the User is informed when the product being searched is not available","0","0","1","0","0"
"","Login functionality scenarios","Verify whether the User is able to reset the forgotten password","0","0","1","0","0"
"","Search functionality scenarios","Verify whether the User is able to search for the products","0","0","1","0","0"
"","Registration functionality scenarios","Verify whether the user is able to register into application by opting for Newsletter subscription","0","0","1","0","0"
"","Login functionality scenarios","Verify whether the User is not able login without providing credentials","0","0","1","0","0"
"","Login functionality scenarios","Verify whether the User is able to login with valid credentials","0","0","1","0","0"
"","Registration functionality scenarios","Verify whether the user is restricted from creating a duplicate account","0","0","1","0","0"
